,Record Date,Debt Held by the Public,Intragovernmental Holdings,Total Public Debt Outstanding,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
0,2021-09-27,22256338250050.82,6170789739032.27,28427127989083.09,1,2021,4,2021,3,9,27
1,2021-09-24,22258560217860.66,6168603078564.77,28427163296425.43,1,2021,4,2021,3,9,24
2,2021-09-23,22268769908383.62,6158405155555.71,28427175063939.33,1,2021,4,2021,3,9,23
3,2021-09-22,22272250116489.61,6154921969847.41,28427172086337.02,1,2021,4,2021,3,9,22
4,2021-09-21,22261385155784.91,6165798800217.13,28427183956002.04,1,2021,4,2021,3,9,21
5,2021-09-20,22272829494666.71,6154358177830.89,28427187672497.6,1,2021,4,2021,3,9,20
6,2021-09-17,22278261586551.23,6148961653679.1,28427223240230.33,1,2021,4,2021,3,9,17
7,2021-09-16,22284196732219.11,6143038362826.17,28427235095045.28,1,2021,4,2021,3,9,16
8,2021-09-15,22294050150299.86,6133178833908.48,28427228984208.34,1,2021,4,2021,3,9,15
9,2021-09-14,22282916629210.18,6144324234417.77,28427240863627.95,1,2021,4,2021,3,9,14
10,2021-09-13,22289670277991.72,6137573591602.65,28427243869594.37,1,2021,4,2021,3,9,13
11,2021-09-10,22293297812749.98,6133981660138.29,28427279472888.27,1,2021,4,2021,3,9,10
12,2021-09-09,22295049268428.03,6132242070559.33,28427291338987.36,1,2021,4,2021,3,9,9
13,2021-09-08,22293378330153.58,6133875467384.64,28427253797538.22,1,2021,4,2021,3,9,8
14,2021-09-07,22282683988638.66,6144581693954.86,28427265682593.52,1,2021,4,2021,3,9,7
15,2021-09-03,22290288845635.85,6137015741954.64,28427304587590.49,1,2021,4,2021,3,9,3
16,2021-09-02,22282258638442.67,6145057831309.79,28427316469752.46,1,2021,4,2021,3,9,2
17,2021-09-01,22292652192807.87,6134653142158.84,28427305334966.71,1,2021,4,2021,3,9,1
18,2021-08-31,22254543554131.93,6172773630395.71,28427317184527.64,1,2021,4,2021,3,8,31
19,2021-08-30,22246920959895.58,6180620490079.75,28427541449975.33,1,2021,4,2021,3,8,30
20,2021-08-27,22243672524384.31,6183904476289.52,28427577000673.83,1,2021,4,2021,3,8,27
21,2021-08-26,22241122967198.27,6186465882289.53,28427588849487.8,1,2021,4,2021,3,8,26
22,2021-08-25,22248957391524.21,6178617314387.32,28427574705911.53,1,2021,4,2021,3,8,25
23,2021-08-24,22237978420871.84,6189608045327.77,28427586466199.61,1,2021,4,2021,3,8,24
24,2021-08-23,22251584529470.09,6176005210893.51,28427589740363.6,1,2021,4,2021,3,8,23
25,2021-08-20,22256434599033.89,6171190438803.48,28427625037837.37,1,2021,4,2021,3,8,20
26,2021-08-19,22259020798508.09,6168616003382.5,28427636801890.59,1,2021,4,2021,3,8,19
27,2021-08-18,22265522025850.47,6162096235459.12,28427618261309.59,1,2021,4,2021,3,8,18
28,2021-08-17,22250414879625.43,6177215015524.08,28427629895149.51,1,2021,4,2021,3,8,17
29,2021-08-16,22264523807491.39,6163108508425.5,28427632315916.89,1,2021,4,2021,3,8,16
30,2021-08-13,22275281971506.72,6152385216728.58,28427667188235.3,1,2021,4,2021,3,8,13
31,2021-08-12,22275214277846.82,6152464576454.21,28427678854301.03,1,2021,4,2021,3,8,12
32,2021-08-11,22279129327736.47,6148507652908.77,28427636980645.24,1,2021,4,2021,3,8,11
33,2021-08-10,22261696511328.14,6165952173498.31,28427648684826.45,1,2021,4,2021,3,8,10
34,2021-08-09,22270829338089.78,6156821744971.76,28427651083061.54,1,2021,4,2021,3,8,9
35,2021-08-06,22278553023249.22,6149133061849.17,28427686085098.39,1,2021,4,2021,3,8,6
36,2021-08-05,22277470458069.36,6150227292771.81,28427697750841.17,1,2021,4,2021,3,8,5
37,2021-08-04,22280521336952.44,6147163174642.44,28427684511594.88,1,2021,4,2021,3,8,4
38,2021-08-03,22281416341623.29,6146279821476.16,28427696163099.45,1,2021,4,2021,3,8,3
39,2021-08-02,22293275208582.66,6134423437249.5,28427698645832.16,1,2021,4,2021,3,8,2
40,2021-07-30,22284627647306.26,6143094225112.44,28427721872418.7,1,2021,4,2021,3,7,30
41,2021-07-29,22267029586371.88,6193100211722.58,28460129798094.46,1,2021,4,2021,3,7,29
42,2021-07-28,22289101510534.79,6194498806304.28,28483600316839.07,1,2021,4,2021,3,7,28
43,2021-07-27,22289709886684.45,6198190332052.51,28487900218736.96,1,2021,4,2021,3,7,27
