Date,Close/Last,Volume,Open,High,Low
09/10/2021,342.5,52544,338.1,345.3,337.2
09/09/2021,337.9,31862,338.3,338.8,335.4
09/08/2021,338.3,34662,338.4,339.7,335.6
09/07/2021,337.8,40833,341.3,343.4,336.2
09/03/2021,341,34265,340.1,342.4,338.4
09/02/2021,340,38874,344.1,344.8,339.4
09/01/2021,343.5,42714,346.1,346.5,341.1
08/31/2021,345.6,39948,348.2,349.9,345.1
08/30/2021,347.2,40247,352.2,355.7,346.4
08/27/2021,352.4,32952,355.4,355.9,351.1
08/26/2021,355.9,38588,352.6,357,351.2
08/25/2021,352.8,32047,355.7,356,352.4
08/24/2021,355.7,50912,349.3,357.7,347.9
08/23/2021,347.7,47149,354.2,356.4,347.6
08/20/2021,354.9,38504,353.6,355.4,350.2
08/19/2021,353.6,39028,360,360,351.8
08/18/2021,360.3,27258,362.3,364.1,358.9
08/17/2021,362.9,29239,363,367.2,361.6
08/16/2021,362.5,28800,360.2,363.8,357.9
08/13/2021,360.4,34815,358,362.6,354.5
08/12/2021,358.5,55959,356.5,366.6,353.9
08/11/2021,356.5,36213,359.6,361,356
08/10/2021,359.6,38775,360,364.7,357.5
08/09/2021,359.5,32428,357.6,363,355.9
08/06/2021,357.7,24232,357.5,359.8,355.7
08/05/2021,357.3,25104,354,359.2,351.8
08/04/2021,354,35876,351.1,356,348.6
08/03/2021,349.7,41583,358,358.7,348.9
08/02/2021,359.6,33251,354.2,361.2,351.6
07/30/2021,353.9,27383,359.7,361.5,353.1
07/29/2021,359.4,21778,358.1,361.3,357.4
07/28/2021,358.1,27397,362.2,362.6,355.1
07/27/2021,361.2,33674,357,363.6,355.9
07/26/2021,355.1,28975,356,357.1,348.7
07/23/2021,356.2,30374,367.4,368,355.7
07/22/2021,366,35086,374.6,374.6,363
07/21/2021,374,28210,370.5,375.7,368.9
07/20/2021,369.7,33217,367.4,371.9,363.1
07/19/2021,364.4,33320,374.5,375,363.4
07/16/2021,366.2,25628,365.4,371.9,364.6
07/15/2021,363.8,27862,370.8,372.5,362.5
07/14/2021,370.8,32459,359.7,373.3,357.3
07/13/2021,360,34057,363.3,365,355.2
07/12/2021,362.5,30358,358.9,364,356
07/09/2021,358.9,25156,363,363.1,355.5
07/08/2021,362.5,25279,367,368.2,360.6
07/07/2021,364.9,31265,366.8,371.6,361.8
07/06/2021,362.4,39099,380.8,380.8,360.9
07/02/2021,388.3,29232,387.6,392.7,383.5
07/01/2021,388.7,49303,382,392.1,377.8
06/30/2021,381.7,54072,353.8,383.8,349.7
06/29/2021,353.8,33724,361.9,361.9,351.6
06/28/2021,359.3,31980,356.7,360.9,350.5
06/25/2021,354.9,45912,351.9,360.3,347
06/24/2021,350.8,46370,359.7,361,347
06/23/2021,359.6,37282,367,367.7,359.2
06/22/2021,366.7,38603,376.5,377.5,365
06/21/2021,374.9,26672,373.8,380.2,371.7
06/18/2021,379.1,36827,369.8,380.4,367.1
06/17/2021,369.4,36845,382,383.8,365.6
06/16/2021,383.1,22862,379.9,388.4,377.1
