Date,Close/Last,Volume,Open,High,Low
09/10/2021,76.1,28738,79.775,80.025,75.775
09/09/2021,85.475,32077,87.95,88.25,85.25
09/08/2021,87.375,25971,88.1,89.35,87.25
09/07/2021,88.1,18450,89.975,89.975,88
09/03/2021,89.575,11564,89.85,90.175,89.375
09/02/2021,89.85,13812,89.65,90.375,89.25
09/01/2021,90.15,18370,89.35,90.9,89.325
08/31/2021,88.8,17031,89.575,89.575,88.375
08/30/2021,90.15,15691,91.425,91.425,89.4
08/27/2021,90.725,21630,88.325,90.9,88.325
08/26/2021,87.9,13515,88.9,89.5,87.6
08/25/2021,88.75,15019,87,89.225,86.75
08/24/2021,86.975,15802,86.675,87.975,86.05
08/23/2021,87.475,15499,88.65,89.45,86.975
08/20/2021,88.625,16648,87.6,89.775,87.4
08/19/2021,86.925,16595,88.65,89.2,86.6
08/18/2021,89.1,12298,88.4,89.25,87.775
08/17/2021,87.9,12642,88.275,88.575,87.55
08/16/2021,89,19494,87.25,89.3,87.25
08/13/2021,86.525,13793,86.3,86.875,84.5
08/12/2021,86.475,14282,85.85,87.125,85.85
08/11/2021,85.85,17549,83.9,86.1,83.875
08/10/2021,83.875,21346,84.6,85.2,83.325
08/09/2021,84.6,14758,87.2,87.575,84.6
08/06/2021,87.6,19831,86.775,87.85,85.625
08/05/2021,87.125,12967,89.675,89.7,87.125
08/04/2021,90.125,13175,91.3,91.725,89.975
08/03/2021,91.375,16329,90.125,91.55,89.775
08/02/2021,89.5,11367,88.2,89.825,88.2
07/30/2021,88.025,14491,88.925,89.375,87.275
07/29/2021,88.975,15001,88.5,90.875,88.5
07/28/2021,89.525,14412,92.25,92.375,89.525
07/27/2021,92.525,11944,93.1,94.05,92.225
07/26/2021,93.1,11955,92.65,93.275,91.625
07/23/2021,92.625,13261,91.425,93.4,91.3
07/22/2021,91.725,15935,92.55,92.85,90.4
07/21/2021,92.4,14106,91.2,92.45,91.175
07/20/2021,91.025,12881,89.375,91.2,89.15
07/19/2021,89.375,12945,90.45,91,89.075
07/16/2021,90.75,11123,89.95,90.9,89.65
07/15/2021,89.4,13259,88.6,90.05,87.675
07/14/2021,89.225,17929,89.625,90.575,89.05
07/13/2021,89.375,18027,87.65,89.475,87.375
07/12/2021,87.325,21511,86.25,87.55,85.95
07/09/2021,101.575,21031,101.2,101.975,100.6
07/08/2021,100.375,21359,101.225,101.7,99.775
07/07/2021,100.4,16795,102.05,102.725,100.1
07/06/2021,102.35,22986,100.275,102.85,100.275
07/02/2021,100.225,18726,100.85,102,98.1
07/01/2021,100.3,24386,104.225,105.6,100.25
06/30/2021,103.25,16046,103.625,104.6,101.85
06/29/2021,103.625,16806,103.7,104.175,102.55
06/28/2021,102.775,15921,100.375,102.775,99.975
06/25/2021,99.775,18278,98.7,101.8,98.5
06/24/2021,98.7,33314,99.975,100.475,96.5
06/23/2021,100.725,20638,102.725,103.075,100.7
06/22/2021,103.7,17314,103.55,106.7,103.475
06/21/2021,103.675,20317,106.9,107.2,103.675
06/18/2021,106.675,20968,108.35,109.625,106.5
06/17/2021,107.2,22665,109.95,110.425,107.2
06/16/2021,111.7,13977,114.025,114.075,111.7
06/15/2021,114.7,15208,114,114.8,113.25
06/14/2021,114.8,13826,115.65,116,114.4
06/11/2021,116.975,21359,118.9,119,116.25
06/10/2021,118.7,18631,118.675,119.575,117.725
06/09/2021,118.75,16747,119.075,119.375,117.375
06/08/2021,118.675,18250,118.85,120.15,116.6
06/07/2021,122.1,27550,121.35,122.675,121.875
06/04/2021,120.6,18656,119.075,121.45,118.5
06/03/2021,119,13105,118.675,119.15,118.725
06/02/2021,118.475,17235,119.95,120.4,117.2
06/01/2021,119.65,17011,118.325,120.4,118.7
05/28/2021,119.35,17880,117.375,119.7,117.05
05/27/2021,116.7,11381,116.575,116.85,115.875
05/26/2021,116.4,13558,117.1,117.875,115.775
05/25/2021,117.5,13412,115.975,117.975,115.85
05/24/2021,115.325,11355,115.6,116.15,114.9
05/21/2021,116.55,15027,113.275,116.55,113.2
05/20/2021,113.55,12852,112.2,114.15,111.425
05/19/2021,111.4,9897,111.275,111.675,110.15
05/18/2021,111.5,14377,109,111.9,109.725
05/17/2021,108.95,11872,108.95,109.8,107.875
